1_id	1_span	1_anno_webanno::AnAntecedenteRemoto	1_anno_webanno::AnRipresaScorretta	1_anno_webanno::AnTipoRipresa	1_anno_webanno::AnaforaProblematica	1_anno_webanno::ConnProblematico	1_anno_webanno::ConnProblematicoComm	1_anno_webanno::Inciso	1_anno_webanno::MorphologicalFeatures_value	1_anno_webanno::Tint	1_anno_webanno::gender	1_anno_webanno::lemma	1_anno_webanno::mood	1_anno_webanno::number	1_anno_webanno::paragraph	1_anno_webanno::person	1_anno_webanno::pos	1_anno_webanno::pos_ud	1_anno_webanno::pronType	1_anno_webanno::tense	1_anno_webanno::text_structure	1_anno_webanno::text_structure_comment	1_anno_webanno::verbForm
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan193	e	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	e	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan200	per	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	per	'NULL'	'NULL'	'NULL'	'NULL'	E	ADP	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan214	e	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	e	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan241	e	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	e	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan246	per	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	per	'NULL'	'NULL'	'NULL'	'NULL'	E	ADP	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan248	e	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	e	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan270	perché	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	perché	'NULL'	'NULL'	'NULL'	'NULL'	B	ADV	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan271	se	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	se	'NULL'	'NULL'	'NULL'	'NULL'	CS	SCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan272	anche	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	anche	'NULL'	'NULL'	'NULL'	'NULL'	B	ADV	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan286	a causa della	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan297	per	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	per	'NULL'	'NULL'	'NULL'	'NULL'	E	ADP	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan303	Inoltre	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	inoltre	'NULL'	'NULL'	true	'NULL'	B	ADV	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan305	per	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	per	'NULL'	'NULL'	'NULL'	'NULL'	E	ADP	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan318	per	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	per	'NULL'	'NULL'	'NULL'	'NULL'	E	ADP	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan339	per	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	per	'NULL'	'NULL'	'NULL'	'NULL'	E	ADP	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan343	in quanto	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan361	In conclusione	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan389	ma	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	ma	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_COC16A#sSpan415	per	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	per	'NULL'	'NULL'	'NULL'	'NULL'	E	ADP	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan4	per	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	per	'NULL'	'NULL'	'NULL'	'NULL'	E	ADP	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan37	in quanto	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan99	perchè	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	perché	'NULL'	'NULL'	'NULL'	'NULL'	CS	SCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan109	perchè	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	perché	'NULL'	'NULL'	'NULL'	'NULL'	CS	SCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan116	e	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	e	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan153	perchè	'NULL'	'NULL'	'NULL'	'NULL'	true	giustificazione? Infatti?	'NULL'	'NULL'	'NULL'	'NULL'	perché	'NULL'	'NULL'	'NULL'	'NULL'	CS	SCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan178	ma	'NULL'	'NULL'	'NULL'	'NULL'	true	ma anche per il fatto che?	'NULL'	'NULL'	'NULL'	'NULL'	ma	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan195	cosi	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	Mood=Ind\	'NULL'	'NULL'	cosi	Ind	Sing	'NULL'	1	V	VERB	'NULL'	Past	'NULL'	'NULL'	Fin
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan207	anche	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	anche	'NULL'	'NULL'	'NULL'	'NULL'	B	ADV	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan212	perchè	'NULL'	'NULL'	'NULL'	'NULL'	true	giustificazione? infatti?	'NULL'	'NULL'	'NULL'	'NULL'	perché	'NULL'	'NULL'	'NULL'	'NULL'	CS	SCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan230	oppure	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	oppure	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan237	ma	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	ma	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan238	anche	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	anche	'NULL'	'NULL'	'NULL'	'NULL'	B	ADV	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan262	solo	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	solo	'NULL'	'NULL'	'NULL'	'NULL'	B	ADV	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan266	ma	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	coord-name	'NULL'	ma	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan267	anche	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	anche	'NULL'	'NULL'	'NULL'	'NULL'	B	ADV	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan272	comunque	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	comunque	'NULL'	'NULL'	'NULL'	'NULL'	B	ADV	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan293	ma	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	ma	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan315	e	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	e	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan317	di conseguenza	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan332	senza	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	senza	'NULL'	'NULL'	'NULL'	'NULL'	E	ADP	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan338	e	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	e	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan345	e	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	e	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan378	e	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	e	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
